0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;Средняя оценка;20_похожих
Тринадцать привидений;Ужасы;Фэнтези;Сверхъестественные;Современное кино (2000–2020);6.692;7639;Thir13en Ghosts;5.6;3.7;;;;;;;;;;5.3;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
База «Клейтон»;Ужасы;Фантастика;Психологические;Новинки (2020–2025);7.305;4572;Basic;6.4;4.5;;;;;;;;;;6.1;"Артефакт;Доктор Джекилл и мистер Хайд;Нечто;Муха;Излечить страх;Части тела;Муха;Муха;Муха;Голова-ластик;Муха;Муха;Тихое место;Видеодром;Лестница Иакова;Тихое место 2;Человек-невидимка;Мы;Оно приходит за тобой;Треугольник"
Мешок с костями;Ужасы;Детектив;Сверхъестественные;Современное кино (2000–2020);6.105;409267;Bag of Bones;5.7;0;;;;;;;;;;5.9;"Песочник;Телесеть;Заклятие;Сонная Лощина;Именины;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом;Истории призраков;Королевство;Дом на другой стороне;Дьявол;Тайна темной комнаты;Пустой человек;Пионеры-герои;Нужные вещи;Проклятый дом;Узник старой усадьбы"
Синистер;Ужасы;Детектив;Оккультные;Современное кино (2000–2020);6.682;590022;Sinister;6.8;6.3;;;;;;;;;;6.6;"Седьмой спутник;Шесть демонов Эмили Роуз;Песнь дьявола;Ключ от всех дверей;Последнее пришествие дьявола;Плетеный человек;Песочник;Телесеть;Квест;Заклятие;Крик;Сонная Лощина;Именины;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом;Крик 2;Истории призраков"
Судная ночь 3;Ужасы;Боевик (Экшен);Кровавые слэшеры;Современное кино (2000–2020);5.865;843907;The Purge: Election Year;6;5.5;;;;;;;;;;5.8;"Зверобой;Охотник на людей;Грайндхаус;Гость;Зверь;Топор. 1943;Планета страха;Пазманский дьявол;Топор. 1944;Доказательство смерти;Обитель зла;Париж. Город Zомби;По прозвищу «Зверь»;Бомж с дробовиком;Змеиный полет;Поезд в Пусан 2: Полуостров;Уцелевшая;Судная ночь;Фредди против Джейсона;Никто не выжил"
Повелители Салема;Ужасы;Триллер;Оккультные;Современное кино (2000–2020);4.428;568640;The Lords of Salem;5.2;5.3;;;;;;;;;;5.0;"Изгоняющий дьявола;Два, три, демон, приди!;Обитель проклятых;Репортаж из преисподней;Заклятие 3: По воле дьявола;Собственность дьявола;Первая ведьма;Знамение;Секта;Последнее изгнание дьявола;Обряд;Омен;Одержимость Майкла Кинга;Пиковая дама: Черный обряд;Рука дьявола;Последний обряд;Пришествие дьявола;Последнее изгнание дьявола: Второе пришествие;Одержимость;Наваждение"
Призраки войны;Ужасы;Военный;Сверхъестественные;Новинки (2020–2025);6.327;1039883;Ghosts of War;5.6;4.6;;;;;;;;;;5.5;"Оверлорд;Адский бункер;Адский бункер: Черное Солнце;Одержимость;Песочник;Наваждение;Последний киносеанс;Призрак дома на холме;Телесеть;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Невинные;Пустой дом;Потерянный рейс;Злой дух Ямбуя"
Ведьма из Блэр: Курсовая с того света;Ужасы;Триллер;Сверхъестественные;Современное кино (2000–2020);6.529;8134;The Blair Witch Project;6.5;7.7;;;;;;;;;;6.9;"Одержимость;Наваждение;Потерянный рейс;Проклятый путь;Одержимая;Осатаневшая;Куколка;Репортаж;Реинкарнация;Тропы;Заклятие 2;Пыль;Звонок мертвецу;Незваные гости;Власть;Наш дом;Взаперти;Последняя Ночь;Не упускай из виду;Пугало"
Поворот не туда;Ужасы;Триллер;Кровавые слэшеры;Современное кино (2000–2020);6.682;4901;Wrong Turn;6.1;4.5;;;;;;;;;;5.8;"Маньяк;Техасская резня бензопилой;Белый плен;Связи нет;Пила: игра на выживание;Бункер;Закрытые пространства;Пила 10;Людоед;Райское озеро;Настоятель 2;Сладкая полночь;Дичь;День слепого Валентина;Хэллоуин;Пила 2;У холмов есть глаза;Кровавая жатва;Капкан;Дитя тьмы: Первая жертва"
Артефакт;Ужасы;Фантастика;Психологические;Новинки (2020–2025);8.233;706227;Artifact;7.9;0;;;;;;;;;;8.1;"Доктор Джекилл и мистер Хайд;Нечто;Муха;Излечить страх;Части тела;Муха;Муха;Муха;Голова-ластик;Муха;Муха;Тихое место;Видеодром;Лестница Иакова;Тихое место 2;Человек-невидимка;Мы;Оно приходит за тобой;Треугольник;Лекарство против страха"
Техасская резня бензопилой: Кожаное лицо;Ужасы;Триллер;Кровавые слэшеры;Новинки (2020–2025);5.273;730709;Leatherface;5;3.9;;;;;;;;;;4.7;"Маньяк;Техасская резня бензопилой;Белый плен;Связи нет;Пила: игра на выживание;Бункер;Закрытые пространства;Пила 10;Людоед;Райское озеро;Настоятель 2;Сладкая полночь;Дичь;День слепого Валентина;Хэллоуин;Пила 2;У холмов есть глаза;Кровавая жатва;Капкан;Дитя тьмы: Первая жертва"
Судная ночь навсегда;Ужасы;Боевик (Экшен);Кровавые слэшеры;Новинки (2020–2025);5.629;1263408;The Forever Purge;5.4;5.4;;;;;;;;;;5.5;"Зверобой;Охотник на людей;Грайндхаус;Гость;Зверь;Топор. 1943;Планета страха;Пазманский дьявол;Топор. 1944;Доказательство смерти;Обитель зла;Париж. Город Zомби;По прозвищу «Зверь»;Бомж с дробовиком;Судная ночь 3;Змеиный полет;Поезд в Пусан 2: Полуостров;Уцелевшая;Судная ночь;Фредди против Джейсона"
Треугольник;Ужасы;Фантастика;Психологические;Современное кино (2000–2020);6.793;406403;Triangle;6.9;6.5;;;;;;;;;;6.7;"Артефакт;Доктор Джекилл и мистер Хайд;Нечто;Муха;Излечить страх;Части тела;Муха;Муха;Муха;Голова-ластик;Муха;Муха;Тихое место;Видеодром;Лестница Иакова;Тихое место 2;Человек-невидимка;Мы;Оно приходит за тобой;Лекарство против страха"
Репродукция;Ужасы;Фантастика;Сверхъестественные;Новинки (2020–2025);6.358;843790;Replicas;5.5;3.2;;;;;;;;;;5.0;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Девушка в подвале;Ужасы;Драма;Психологические;Новинки (2020–2025);6.315;1435749;Girl in the Basement;6.3;0;;;;;;;;;;6.3;"Кэрри;Маяк;Последнее воскресение;Полустанок;мама!;Май;Бабадук;История двух сестер;Антихрист;Темная вода;Страна хороших деточек;Призрак дома на холме;Впусти меня;Приют;Коробка;Ужас Амитивилля;Сербский фильм;Сияние;Ребенок Розмари;Челюсти"
